id,left,top,right,bottom,x,y,admin,volume,firstgridprob,desgridprob
442,15475049.27,4285653.657,15476049.27,4284653.657,8,53,奥多摩町,346,1.19E-05,0
443,15475049.27,4284653.657,15476049.27,4283653.657,8,52,奥多摩町,346,1.19E-05,0
444,15475049.27,4283653.657,15476049.27,4282653.657,8,51,奥多摩町,346,1.19E-05,0
445,15475049.27,4282653.657,15476049.27,4281653.657,8,50,奥多摩町,346,1.19E-05,0
446,15475049.27,4281653.657,15476049.27,4280653.657,8,49,奥多摩町,346,1.19E-05,0
447,15475049.27,4280653.657,15476049.27,4279653.657,8,48,奥多摩町,346,1.19E-05,0
448,15475049.27,4279653.657,15476049.27,4278653.657,8,47,奥多摩町,346,1.19E-05,0
449,15475049.27,4278653.657,15476049.27,4277653.657,8,46,奥多摩町,346,1.19E-05,0
450,15475049.27,4277653.657,15476049.27,4276653.657,8,45,奥多摩町,346,1.19E-05,0
451,15475049.27,4276653.657,15476049.27,4275653.657,8,44,奥多摩町,346,1.19E-05,0
452,15475049.27,4275653.657,15476049.27,4274653.657,8,43,奥多摩町,346,1.19E-05,0
453,15475049.27,4274653.657,15476049.27,4273653.657,8,42,奥多摩町,346,1.19E-05,0
454,15475049.27,4273653.657,15476049.27,4272653.657,8,41,奥多摩町,346,1.19E-05,0
455,15475049.27,4272653.657,15476049.27,4271653.657,8,40,奥多摩町,346,1.19E-05,0
456,15475049.27,4271653.657,15476049.27,4270653.657,8,39,奥多摩町,346,1.19E-05,0
457,15475049.27,4270653.657,15476049.27,4269653.657,8,38,奥多摩町,346,1.19E-05,1.26791E-05
458,15475049.27,4269653.657,15476049.27,4268653.657,8,37,奥多摩町,346,1.19E-05,0
459,15475049.27,4268653.657,15476049.27,4267653.657,8,36,奥多摩町,346,1.19E-05,0
460,15475049.27,4267653.657,15476049.27,4266653.657,8,35,奥多摩町,346,1.19E-05,0
461,15475049.27,4266653.657,15476049.27,4265653.657,8,34,奥多摩町,346,1.19E-05,0
462,15475049.27,4265653.657,15476049.27,4264653.657,8,33,奥多摩町,346,1.19E-05,0
463,15475049.27,4264653.657,15476049.27,4263653.657,8,32,檜原村,204,7.00E-06,0
464,15475049.27,4263653.657,15476049.27,4262653.657,8,31,檜原村,204,7.00E-06,0
465,15475049.27,4262653.657,15476049.27,4261653.657,8,30,檜原村,204,7.00E-06,0
496,15476049.27,4286653.657,15477049.27,4285653.657,9,54,奥多摩町,346,1.19E-05,0
497,15476049.27,4285653.657,15477049.27,4284653.657,9,53,奥多摩町,346,1.19E-05,0
498,15476049.27,4284653.657,15477049.27,4283653.657,9,52,奥多摩町,346,1.19E-05,0
499,15476049.27,4283653.657,15477049.27,4282653.657,9,51,奥多摩町,346,1.19E-05,0
500,15476049.27,4282653.657,15477049.27,4281653.657,9,50,奥多摩町,346,1.19E-05,0
501,15476049.27,4281653.657,15477049.27,4280653.657,9,49,奥多摩町,346,1.19E-05,0
502,15476049.27,4280653.657,15477049.27,4279653.657,9,48,奥多摩町,346,1.19E-05,0
503,15476049.27,4279653.657,15477049.27,4278653.657,9,47,奥多摩町,346,1.19E-05,0
504,15476049.27,4278653.657,15477049.27,4277653.657,9,46,奥多摩町,346,1.19E-05,0
505,15476049.27,4277653.657,15477049.27,4276653.657,9,45,奥多摩町,346,1.19E-05,0
506,15476049.27,4276653.657,15477049.27,4275653.657,9,44,奥多摩町,346,1.19E-05,0
507,15476049.27,4275653.657,15477049.27,4274653.657,9,43,奥多摩町,346,1.19E-05,0
508,15476049.27,4274653.657,15477049.27,4273653.657,9,42,奥多摩町,346,1.19E-05,0
509,15476049.27,4273653.657,15477049.27,4272653.657,9,41,奥多摩町,346,1.19E-05,0
510,15476049.27,4272653.657,15477049.27,4271653.657,9,40,奥多摩町,346,1.19E-05,0
511,15476049.27,4271653.657,15477049.27,4270653.657,9,39,奥多摩町,346,1.19E-05,0
512,15476049.27,4270653.657,15477049.27,4269653.657,9,38,奥多摩町,346,1.19E-05,0
513,15476049.27,4269653.657,15477049.27,4268653.657,9,37,奥多摩町,346,1.19E-05,0
514,15476049.27,4268653.657,15477049.27,4267653.657,9,36,奥多摩町,346,1.19E-05,0
515,15476049.27,4267653.657,15477049.27,4266653.657,9,35,奥多摩町,346,1.19E-05,0
516,15476049.27,4266653.657,15477049.27,4265653.657,9,34,奥多摩町,346,1.19E-05,0
517,15476049.27,4265653.657,15477049.27,4264653.657,9,33,檜原村,204,7.00E-06,0
518,15476049.27,4264653.657,15477049.27,4263653.657,9,32,檜原村,204,7.00E-06,0
519,15476049.27,4263653.657,15477049.27,4262653.657,9,31,檜原村,204,7.00E-06,0
520,15476049.27,4262653.657,15477049.27,4261653.657,9,30,檜原村,204,7.00E-06,0
521,15476049.27,4261653.657,15477049.27,4260653.657,9,29,檜原村,204,7.00E-06,0
551,15477049.27,4286653.657,15478049.27,4285653.657,10,54,奥多摩町,346,1.19E-05,0
552,15477049.27,4285653.657,15478049.27,4284653.657,10,53,奥多摩町,346,1.19E-05,0
553,15477049.27,4284653.657,15478049.27,4283653.657,10,52,奥多摩町,346,1.19E-05,0
554,15477049.27,4283653.657,15478049.27,4282653.657,10,51,奥多摩町,346,1.19E-05,0
555,15477049.27,4282653.657,15478049.27,4281653.657,10,50,奥多摩町,346,1.19E-05,0
556,15477049.27,4281653.657,15478049.27,4280653.657,10,49,奥多摩町,346,1.19E-05,0
557,15477049.27,4280653.657,15478049.27,4279653.657,10,48,奥多摩町,346,1.19E-05,0
558,15477049.27,4279653.657,15478049.27,4278653.657,10,47,奥多摩町,346,1.19E-05,1.35567E-05
559,15477049.27,4278653.657,15478049.27,4277653.657,10,46,奥多摩町,346,1.19E-05,0
560,15477049.27,4277653.657,15478049.27,4276653.657,10,45,奥多摩町,346,1.19E-05,0
561,15477049.27,4276653.657,15478049.27,4275653.657,10,44,奥多摩町,346,1.19E-05,0
562,15477049.27,4275653.657,15478049.27,4274653.657,10,43,奥多摩町,346,1.19E-05,0
563,15477049.27,4274653.657,15478049.27,4273653.657,10,42,奥多摩町,346,1.19E-05,0
564,15477049.27,4273653.657,15478049.27,4272653.657,10,41,奥多摩町,346,1.19E-05,0
565,15477049.27,4272653.657,15478049.27,4271653.657,10,40,奥多摩町,346,1.19E-05,0
566,15477049.27,4271653.657,15478049.27,4270653.657,10,39,奥多摩町,346,1.19E-05,1.35567E-05
567,15477049.27,4270653.657,15478049.27,4269653.657,10,38,奥多摩町,346,1.19E-05,1.26791E-05
568,15477049.27,4269653.657,15478049.27,4268653.657,10,37,奥多摩町,346,1.19E-05,0
569,15477049.27,4268653.657,15478049.27,4267653.657,10,36,奥多摩町,346,1.19E-05,0
570,15477049.27,4267653.657,15478049.27,4266653.657,10,35,奥多摩町,346,1.19E-05,0
571,15477049.27,4266653.657,15478049.27,4265653.657,10,34,奥多摩町,346,1.19E-05,0
572,15477049.27,4265653.657,15478049.27,4264653.657,10,33,檜原村,204,7.00E-06,0
573,15477049.27,4264653.657,15478049.27,4263653.657,10,32,檜原村,204,7.00E-06,0
574,15477049.27,4263653.657,15478049.27,4262653.657,10,31,檜原村,204,7.00E-06,0
575,15477049.27,4262653.657,15478049.27,4261653.657,10,30,檜原村,204,7.00E-06,0
576,15477049.27,4261653.657,15478049.27,4260653.657,10,29,檜原村,204,7.00E-06,0
607,15478049.27,4285653.657,15479049.27,4284653.657,11,53,奥多摩町,346,1.19E-05,0
608,15478049.27,4284653.657,15479049.27,4283653.657,11,52,奥多摩町,346,1.19E-05,0
609,15478049.27,4283653.657,15479049.27,4282653.657,11,51,奥多摩町,346,1.19E-05,0
610,15478049.27,4282653.657,15479049.27,4281653.657,11,50,奥多摩町,346,1.19E-05,0
611,15478049.27,4281653.657,15479049.27,4280653.657,11,49,奥多摩町,346,1.19E-05,0
612,15478049.27,4280653.657,15479049.27,4279653.657,11,48,奥多摩町,346,1.19E-05,0
613,15478049.27,4279653.657,15479049.27,4278653.657,11,47,奥多摩町,346,1.19E-05,1.26791E-05
614,15478049.27,4278653.657,15479049.27,4277653.657,11,46,奥多摩町,346,1.19E-05,0
615,15478049.27,4277653.657,15479049.27,4276653.657,11,45,奥多摩町,346,1.19E-05,0
616,15478049.27,4276653.657,15479049.27,4275653.657,11,44,奥多摩町,346,1.19E-05,0
617,15478049.27,4275653.657,15479049.27,4274653.657,11,43,奥多摩町,346,1.19E-05,1.26791E-05
618,15478049.27,4274653.657,15479049.27,4273653.657,11,42,奥多摩町,346,1.19E-05,0
619,15478049.27,4273653.657,15479049.27,4272653.657,11,41,奥多摩町,346,1.19E-05,0
620,15478049.27,4272653.657,15479049.27,4271653.657,11,40,奥多摩町,346,1.19E-05,0
621,15478049.27,4271653.657,15479049.27,4270653.657,11,39,奥多摩町,346,1.19E-05,0
622,15478049.27,4270653.657,15479049.27,4269653.657,11,38,奥多摩町,346,1.19E-05,0
623,15478049.27,4269653.657,15479049.27,4268653.657,11,37,奥多摩町,346,1.19E-05,0
624,15478049.27,4268653.657,15479049.27,4267653.657,11,36,奥多摩町,346,1.19E-05,0
625,15478049.27,4267653.657,15479049.27,4266653.657,11,35,檜原村,204,7.00E-06,0
626,15478049.27,4266653.657,15479049.27,4265653.657,11,34,檜原村,204,7.00E-06,0
627,15478049.27,4265653.657,15479049.27,4264653.657,11,33,檜原村,204,7.00E-06,0
628,15478049.27,4264653.657,15479049.27,4263653.657,11,32,檜原村,204,7.00E-06,0
629,15478049.27,4263653.657,15479049.27,4262653.657,11,31,檜原村,204,7.00E-06,0
630,15478049.27,4262653.657,15479049.27,4261653.657,11,30,檜原村,204,7.00E-06,0
631,15478049.27,4261653.657,15479049.27,4260653.657,11,29,檜原村,204,7.00E-06,0
632,15478049.27,4260653.657,15479049.27,4259653.657,11,28,檜原村,204,7.00E-06,0
663,15479049.27,4284653.657,15480049.27,4283653.657,12,52,奥多摩町,346,1.19E-05,0
664,15479049.27,4283653.657,15480049.27,4282653.657,12,51,奥多摩町,346,1.19E-05,0
665,15479049.27,4282653.657,15480049.27,4281653.657,12,50,奥多摩町,346,1.19E-05,0
666,15479049.27,4281653.657,15480049.27,4280653.657,12,49,奥多摩町,346,1.19E-05,0
667,15479049.27,4280653.657,15480049.27,4279653.657,12,48,奥多摩町,346,1.19E-05,0
668,15479049.27,4279653.657,15480049.27,4278653.657,12,47,奥多摩町,346,1.19E-05,0
669,15479049.27,4278653.657,15480049.27,4277653.657,12,46,奥多摩町,346,1.19E-05,0
670,15479049.27,4277653.657,15480049.27,4276653.657,12,45,奥多摩町,346,1.19E-05,0
671,15479049.27,4276653.657,15480049.27,4275653.657,12,44,奥多摩町,346,1.19E-05,0
672,15479049.27,4275653.657,15480049.27,4274653.657,12,43,奥多摩町,346,1.19E-05,0
673,15479049.27,4274653.657,15480049.27,4273653.657,12,42,奥多摩町,346,1.19E-05,0
674,15479049.27,4273653.657,15480049.27,4272653.657,12,41,奥多摩町,346,1.19E-05,0
675,15479049.27,4272653.657,15480049.27,4271653.657,12,40,奥多摩町,346,1.19E-05,0
676,15479049.27,4271653.657,15480049.27,4270653.657,12,39,奥多摩町,346,1.19E-05,0
677,15479049.27,4270653.657,15480049.27,4269653.657,12,38,奥多摩町,346,1.19E-05,0
678,15479049.27,4269653.657,15480049.27,4268653.657,12,37,奥多摩町,346,1.19E-05,0
679,15479049.27,4268653.657,15480049.27,4267653.657,12,36,奥多摩町,346,1.19E-05,0
680,15479049.27,4267653.657,15480049.27,4266653.657,12,35,檜原村,204,7.00E-06,0
681,15479049.27,4266653.657,15480049.27,4265653.657,12,34,檜原村,204,7.00E-06,0
682,15479049.27,4265653.657,15480049.27,4264653.657,12,33,檜原村,204,7.00E-06,0
683,15479049.27,4264653.657,15480049.27,4263653.657,12,32,檜原村,204,7.00E-06,0
684,15479049.27,4263653.657,15480049.27,4262653.657,12,31,檜原村,204,7.00E-06,0
685,15479049.27,4262653.657,15480049.27,4261653.657,12,30,檜原村,204,7.00E-06,0
686,15479049.27,4261653.657,15480049.27,4260653.657,12,29,檜原村,204,7.00E-06,0
687,15479049.27,4260653.657,15480049.27,4259653.657,12,28,檜原村,204,7.00E-06,0
719,15480049.27,4283653.657,15481049.27,4282653.657,13,51,奥多摩町,346,1.19E-05,0
720,15480049.27,4282653.657,15481049.27,4281653.657,13,50,奥多摩町,346,1.19E-05,0
721,15480049.27,4281653.657,15481049.27,4280653.657,13,49,奥多摩町,346,1.19E-05,0
722,15480049.27,4280653.657,15481049.27,4279653.657,13,48,奥多摩町,346,1.19E-05,0
723,15480049.27,4279653.657,15481049.27,4278653.657,13,47,奥多摩町,346,1.19E-05,0
724,15480049.27,4278653.657,15481049.27,4277653.657,13,46,奥多摩町,346,1.19E-05,0
725,15480049.27,4277653.657,15481049.27,4276653.657,13,45,奥多摩町,346,1.19E-05,0
726,15480049.27,4276653.657,15481049.27,4275653.657,13,44,奥多摩町,346,1.19E-05,0
727,15480049.27,4275653.657,15481049.27,4274653.657,13,43,奥多摩町,346,1.19E-05,0
728,15480049.27,4274653.657,15481049.27,4273653.657,13,42,奥多摩町,346,1.19E-05,0
