id,left,top,right,bottom,AgricultureFishing,BuildingCivil,Chemicals,Machine,Market,Media,MetalProducts,Metalworking,Mining,OtherProduct,Service,TransportIndustry,Warehouse,x,y,gridprob
289,15472049.27,4273653.657,15473049.27,4272653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,41,0
290,15472049.27,4272653.657,15473049.27,4271653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,40,0
291,15472049.27,4271653.657,15473049.27,4270653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,39,0
292,15472049.27,4270653.657,15473049.27,4269653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,38,0
293,15472049.27,4269653.657,15473049.27,4268653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,37,0
294,15472049.27,4268653.657,15473049.27,4267653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,36,0
295,15472049.27,4267653.657,15473049.27,4266653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,35,0
332,15473049.27,4285653.657,15474049.27,4284653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,53,0
333,15473049.27,4284653.657,15474049.27,4283653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,52,0
334,15473049.27,4283653.657,15474049.27,4282653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,51,0
335,15473049.27,4282653.657,15474049.27,4281653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,50,0
336,15473049.27,4281653.657,15474049.27,4280653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,49,0
337,15473049.27,4280653.657,15474049.27,4279653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,48,0
338,15473049.27,4279653.657,15474049.27,4278653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,47,0
339,15473049.27,4278653.657,15474049.27,4277653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,46,0
340,15473049.27,4277653.657,15474049.27,4276653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,45,0
341,15473049.27,4276653.657,15474049.27,4275653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,44,0
342,15473049.27,4275653.657,15474049.27,4274653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,43,0
343,15473049.27,4274653.657,15474049.27,4273653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,42,0
344,15473049.27,4273653.657,15474049.27,4272653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,41,0
345,15473049.27,4272653.657,15474049.27,4271653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,40,0
346,15473049.27,4271653.657,15474049.27,4270653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,39,0
347,15473049.27,4270653.657,15474049.27,4269653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,38,0
348,15473049.27,4269653.657,15474049.27,4268653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,37,0
349,15473049.27,4268653.657,15474049.27,4267653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,36,0
350,15473049.27,4267653.657,15474049.27,4266653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,35,0
351,15473049.27,4266653.657,15474049.27,4265653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,34,0
386,15474049.27,4286653.657,15475049.27,4285653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,54,0
387,15474049.27,4285653.657,15475049.27,4284653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,53,0
388,15474049.27,4284653.657,15475049.27,4283653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,52,0
389,15474049.27,4283653.657,15475049.27,4282653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,51,0
390,15474049.27,4282653.657,15475049.27,4281653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,50,0
391,15474049.27,4281653.657,15475049.27,4280653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,49,0
392,15474049.27,4280653.657,15475049.27,4279653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,48,0
393,15474049.27,4279653.657,15475049.27,4278653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,47,0
394,15474049.27,4278653.657,15475049.27,4277653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,46,0
395,15474049.27,4277653.657,15475049.27,4276653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,45,0
396,15474049.27,4276653.657,15475049.27,4275653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,44,0
397,15474049.27,4275653.657,15475049.27,4274653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,43,0
398,15474049.27,4274653.657,15475049.27,4273653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,42,0
399,15474049.27,4273653.657,15475049.27,4272653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,41,0
400,15474049.27,4272653.657,15475049.27,4271653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,40,0
401,15474049.27,4271653.657,15475049.27,4270653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,39,0
402,15474049.27,4270653.657,15475049.27,4269653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,38,0
403,15474049.27,4269653.657,15475049.27,4268653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,37,0
404,15474049.27,4268653.657,15475049.27,4267653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,36,0
405,15474049.27,4267653.657,15475049.27,4266653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,35,0
406,15474049.27,4266653.657,15475049.27,4265653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,34,0
407,15474049.27,4265653.657,15475049.27,4264653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,33,0
408,15474049.27,4264653.657,15475049.27,4263653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,32,0
441,15475049.27,4286653.657,15476049.27,4285653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,54,0
442,15475049.27,4285653.657,15476049.27,4284653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,53,0
443,15475049.27,4284653.657,15476049.27,4283653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,52,0
444,15475049.27,4283653.657,15476049.27,4282653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,51,0
445,15475049.27,4282653.657,15476049.27,4281653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,50,0
446,15475049.27,4281653.657,15476049.27,4280653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,49,0
447,15475049.27,4280653.657,15476049.27,4279653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,48,0
448,15475049.27,4279653.657,15476049.27,4278653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,47,0
449,15475049.27,4278653.657,15476049.27,4277653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,46,0
450,15475049.27,4277653.657,15476049.27,4276653.657,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,45,0
